Symbol,Name,Price (Intraday)
AAPL.BA,Apple Inc.,"14,331.00"
NVDA.BA,NVIDIA Corporation,"7,003.00"
MSFT.BA,Microsoft Corporation,"20,321.00"
GOOGL.BA,Alphabet Inc.,"4,261.00"
AMZN.BA,"Amazon.com, Inc.","1,822.50"
C.BA,Citigroup Inc.,"28,502.50"
BABA.BA,Alibaba Group Holding Limited,"10,805.00"
TM.BA,Toyota Motor Corporation,"18,465.50"
LLY.BA,Eli Lilly and Company,"21,979.50"
BRKB.BA,Berkshire Hathaway Inc.,"25,049.00"
TSM.BA,Taiwan Semiconductor Manufacturing Company Limited,"26,176.50"
TSLA.BA,"Tesla, Inc.","17,820.00"
WMT.BA,Walmart Inc.,"5,091.00"
JPM.BA,JPMorgan Chase & Co.,"18,274.50"
XOM.BA,Exxon Mobil Corporation,"15,581.50"
ORCL.BA,Oracle Corporation,"63,821.50"
COST.BA,Costco Wholesale Corporation,"24,050.50"
PG.BA,The Procter & Gamble Company,"14,861.50"
SAN.BA,"Banco Santander, S.A.","25,010.00"
HD.BA,"The Home Depot, Inc.","14,555.00"
JNJ.BA,Johnson & Johnson,"13,161.50"
AZN.BA,AstraZeneca PLC,"52,838.00"
VOD.BA,Vodafone Group Public Limited Company,"12,020.50"
BCS.BA,Barclays PLC,"14,400.50"
MRK.BA,"Merck & Co., Inc.","34,246.50"
SHEL.BA,Shell plc,"48,887.50"
NFLX.BA,"Netflix, Inc.","18,994.50"
CVX.BA,Chevron Corporation,"13,242.50"
KO.BA,The Coca-Cola Company,"17,186.50"
ADBE.BA,Adobe Inc.,"17,137.00"
V.BA,Visa Inc.,"19,722.00"
SAP.BA,SAP SE,"45,561.00"
NVS.BA,Novartis AG,"35,990.00"
ORAN.BA,Orange S.A.,"13,575.00"
HDB.BA,HDFC Bank Limited,"43,742.50"
CRM.BA,"Salesforce, Inc.","19,336.00"
HSBC.BA,HSBC Holdings plc,"29,196.50"
PEP.BA,"PepsiCo, Inc.","12,423.00"
HMC.BA,"Honda Motor Co., Ltd.","43,680.00"
QCOM.BA,QUALCOMM Incorporated,"24,562.00"
AMAT.BA,"Applied Materials, Inc.","64,022.50"
TMO.BA,Thermo Fisher Scientific Inc.,"33,647.50"
WFC.BA,Wells Fargo & Company,"16,069.00"
